Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,sma,std,upper_band,lower_band,Call
2018-05-16,HEROMOTOCO,EQ,3649.6,3639.0,3639.0,3501.6,3580.0,3575.5,3561.04,395161,1407186098.75,34706,214482,54.28,3682.045000000001,48.72465576017514,3779.4943115203514,3584.5956884796506,2
2018-05-17,HEROMOTOCO,EQ,3575.5,3600.0,3604.95,3535.0,3559.0,3554.55,3556.13,350935,1247971272.85,26252,236085,67.27,3672.882500000001,54.56771571803559,3782.017931436072,3563.74706856393,1
2018-05-18,HEROMOTOCO,EQ,3554.55,3550.0,3575.0,3535.35,3568.75,3561.05,3558.75,424207,1509647034.0,39567,344359,81.18,3664.755000000001,58.57437669547364,3781.903753390948,3547.606246609054,1
2018-05-21,HEROMOTOCO,EQ,3561.05,3578.6,3578.6,3461.75,3469.95,3492.9,3500.57,258835,906070940.0,30585,160193,61.89,3652.265000000001,67.09259528521213,3786.450190570425,3518.0798094295765,1
2018-05-22,HEROMOTOCO,EQ,3492.9,3467.1,3516.95,3450.0,3505.0,3499.9,3497.23,323714,1132102611.2,31615,230827,71.31,3641.350000000001,73.27376029226528,3787.8975205845313,3494.8024794154703,1
2018-05-23,HEROMOTOCO,EQ,3499.9,3494.5,3494.8,3452.0,3483.45,3482.95,3478.4,155958,542484170.8,27025,111114,71.25,3629.652500000001,79.02629887875008,3787.7050977575013,3471.599902242501,1
2018-05-24,HEROMOTOCO,EQ,3482.95,3495.0,3509.9,3445.95,3500.05,3489.9,3471.85,324856,1127850645.45,19604,226110,69.6,3618.287500000001,82.05931563749793,3782.406131274997,3454.168868725005,1
2018-05-25,HEROMOTOCO,EQ,3489.9,3480.0,3575.0,3461.85,3537.35,3552.85,3533.95,177764,628208768.85,18918,90226,50.76,3607.8375000000005,75.8907522883681,3759.6190045767366,3456.0559954232644,2
2018-05-28,HEROMOTOCO,EQ,3552.85,3570.0,3610.0,3537.35,3608.15,3599.8,3586.81,191457,686719234.3,20708,92818,48.48,3602.152500000001,71.70200480754166,3745.5565096150845,3458.7484903849177,2
2018-05-29,HEROMOTOCO,EQ,3599.8,3608.15,3624.0,3565.2,3615.85,3610.4,3599.64,309517,1114148735.25,20652,134759,43.54,3596.0600000000004,64.92208407005768,3725.904168140116,3466.215831859885,2
2018-05-30,HEROMOTOCO,EQ,3610.4,3594.9,3622.45,3528.4,3589.0,3601.45,3590.26,237040,851034962.65,28428,114430,48.27,3592.9275000000002,62.94777383087328,3718.823047661747,3467.0319523382536,2
2018-05-31,HEROMOTOCO,EQ,3601.45,3610.0,3614.15,3530.1,3550.0,3544.9,3551.91,707484,2512920320.0,59331,432185,61.09,3587.3924999999995,62.00683170128234,3711.4061634025643,3463.3788365974347,2
2018-06-01,HEROMOTOCO,EQ,3544.9,3563.5,3637.0,3554.2,3622.0,3626.3,3607.86,300310,1083475101.0,20048,128408,42.76,3585.72,60.382263429269244,3706.484526858538,3464.9554731414614,2
2018-06-04,HEROMOTOCO,EQ,3626.3,3669.85,3669.85,3592.85,3605.0,3613.6,3623.81,230153,834030627.45,24450,112646,48.94,3583.9975,58.985842358007886,3701.9691847160157,3466.0258152839842,2
2018-06-05,HEROMOTOCO,EQ,3613.6,3600.1,3619.0,3565.3,3614.0,3610.4,3596.53,225466,810895582.8,30535,130365,57.82,3581.6524999999992,56.81045000933091,3695.273400018661,3468.0315999813374,2
2018-06-06,HEROMOTOCO,EQ,3610.4,3624.95,3640.0,3598.0,3639.0,3635.2,3628.02,211568,767573443.75,17957,114999,54.36,3580.6924999999997,55.66716001330487,3692.0268200266096,3469.3581799733897,2
2018-06-07,HEROMOTOCO,EQ,3635.2,3652.0,3667.45,3628.3,3663.0,3651.5,3649.62,222475,811948468.5,25818,130574,58.69,3580.9674999999997,56.01923606414183,3693.0059721282832,3468.9290278717162,2
2018-06-08,HEROMOTOCO,EQ,3651.5,3657.0,3660.0,3608.4,3630.05,3635.15,3629.91,175173,635862285.1,21162,85736,48.94,3581.809999999999,56.73241577792653,3695.274831555852,3468.345168444146,2
2018-06-11,HEROMOTOCO,EQ,3635.15,3637.9,3645.9,3600.0,3608.75,3612.3,3622.59,249101,902389628.1,26322,201987,81.09,3580.0099999999993,55.058195527426776,3690.126391054853,3469.893608945146,2
2018-06-12,HEROMOTOCO,EQ,3612.3,3624.8,3712.2,3601.3,3693.0,3687.85,3658.38,257348,941477138.95,26563,131195,50.98,3581.922499999999,58.178598604004236,3698.2796972080077,3465.5653027919907,2
2018-06-13,HEROMOTOCO,EQ,3687.85,3704.7,3708.9,3679.0,3694.8,3696.8,3695.56,209724,775047142.9,16798,128045,61.05,3587.9874999999993,63.54863217501508,3715.084764350029,3460.8902356499693,2
2018-06-14,HEROMOTOCO,EQ,3696.8,3690.05,3706.15,3667.1,3690.25,3695.6,3690.2,155159,572568207.55,13807,100793,64.96,3595.0399999999995,67.35521430992897,3729.7504286198573,3460.3295713801417,2
2018-06-15,HEROMOTOCO,EQ,3695.6,3696.0,3710.35,3652.0,3678.0,3693.7,3686.1,306688,1130482570.75,37527,225309,73.47,3601.672499999999,70.2987786728504,3742.2700573457,3461.0749426542984,2
2018-06-18,HEROMOTOCO,EQ,3693.7,3695.0,3702.5,3651.0,3669.4,3666.15,3671.13,361312,1326423387.4,17487,267868,74.14,3610.334999999999,66.77596498740938,3743.886929974818,3476.78307002518,2
2018-06-19,HEROMOTOCO,EQ,3666.15,3658.0,3660.0,3620.0,3653.0,3652.75,3644.83,242770,884855184.4,23162,166839,68.72,3617.9774999999995,62.05114502315,3742.0797900462994,3493.8752099536996,2
2018-06-20,HEROMOTOCO,EQ,3652.75,3655.0,3690.0,3641.1,3653.0,3655.8,3654.09,433541,1584196713.2,26400,343067,79.13,3626.62,53.73463403370943,3734.0892680674187,3519.150731932581,2
2018-06-21,HEROMOTOCO,EQ,3655.8,3648.0,3675.9,3624.0,3634.95,3635.2,3649.23,280729,1024445392.9,24552,191408,68.18,3633.8849999999998,43.033928169342246,3719.9528563386843,3547.817143661315,2
2018-06-22,HEROMOTOCO,EQ,3635.2,3634.0,3644.2,3601.7,3635.0,3637.65,3624.64,193715,702146571.0,25531,77828,40.18,3638.124999999999,38.576248828575125,3715.2774976571495,3560.9725023428487,2
2018-06-25,HEROMOTOCO,EQ,3637.65,3634.0,3649.95,3575.55,3581.25,3586.85,3590.64,351955,1263743467.1,36004,156236,44.39,3637.4774999999995,39.35422626605596,3716.1859525321115,3558.7690474678875,2
2018-06-26,HEROMOTOCO,EQ,3586.85,3570.0,3578.0,3536.0,3570.0,3566.85,3560.09,252375,898478429.45,29051,155617,61.66,3635.3,42.04419354115656,3719.3883870823133,3551.211612917687,2
2018-06-27,HEROMOTOCO,EQ,3566.85,3570.0,3584.55,3530.0,3531.0,3538.0,3546.11,320678,1137158022.35,40282,220948,68.9,3632.1275,46.85180577039967,3725.8311115407996,3538.4238884592005,2
